PassengerId,Survived
892,0.123015895
893,0.6515148
894,0.11769437
895,0.13381308
896,0.73163193
897,0.25505742
898,0.4885354
899,0.12004393
900,0.79869
901,0.08780132
902,0.13381308
903,0.16054815
904,0.8852321
905,0.0893558
906,1.1627676
907,0.82714105
908,0.14453357
909,0.1479307
910,0.4806589
911,0.77165204
912,0.10923297
913,0.503073
914,0.8394014
915,0.27063438
916,0.9771533
917,0.080449626
918,0.7650434
919,0.1434806
920,0.21855806
921,0.07215459
922,0.0958566
923,0.100767
924,0.69831705
925,0.7630284
926,0.31554523
927,0.23290737
928,0.56962776
929,0.526281
930,0.13762456
931,0.13381308
932,0.11052662
933,0.48948938
934,0.11616857
935,0.9019786
936,1.1345524
937,0.15312365
938,0.2078563
939,0.13381308
940,1.3022382
941,0.7761671
942,0.3425944
943,0.158561
944,0.4327704
945,0.57209575
946,0.17661566
947,0.033864588
948,0.12242364
949,0.5339149
950,0.108204015
951,0.75446415
952,0.1672608
953,0.16247836
954,0.18959862
955,0.5891057
956,0.19694899
957,0.93360513
958,0.6011155
959,0.15874672
960,0.452469
961,0.8270394
962,0.5819499
963,0.1479307
964,0.5604787
965,0.5500266
966,0.82607424
967,0.34184277
968,0.13381308
969,1.1278424
970,0.16772398
971,0.5144602
972,0.39050183
973,0.20544349
974,0.15533586
975,0.13381308
976,0.17661566
977,0.099149935
978,0.5017898
979,0.6011155
980,0.5017898
981,0.77081305
982,0.83708894
983,0.13381308
984,0.8441727
985,0.13381308
986,0.19289468
987,0.15312365
988,1.1964775
989,0.14232953
990,0.6612849
991,0.1337387
992,1.119658
993,0.11844292
994,0.13381308
995,0.17588407
996,0.6470394
997,0.14476712
998,0.1479307
999,0.13381308
1000,0.17176546
1001,0.5436566
1002,0.14344427
1003,0.56962776
1004,0.7469609
1005,0.5353618
1006,1.138341
1007,0.116816014
1008,0.13381308
1009,0.90873706
1010,0.33018044
1011,0.8935631
1012,0.67314094
1013,0.099149935
1014,0.9860792
1015,0.14476712
1016,0.13381308
1017,0.57198465
1018,0.16413291
1019,0.33533904
1020,0.13558413
1021,0.13978723
1022,0.13573796
1023,0.8904259
1024,0.5708844
1025,0.108204015
1026,0.11438217
1027,0.15639766
1028,0.13471206
1029,0.16078097
1030,0.5185071
1031,0.059109975
